algo,all_dim,seed,gen_cnt,dim,delta,sec,len,cnt
potlll,45,0,1000,45,0.99,8338.808,9176,43245
potlll,45,0,1000,45,1.0,8855.072,9676,43542
potlll,45,1,1000,45,0.99,9653.412,9733,45415
potlll,45,1,1000,45,1.0,9506.762,10021,45128
potlll,45,2,1000,45,0.99,9534.017,9574,45185
potlll,45,2,1000,45,1.0,10018.913,10556,47354
potlll,45,3,1000,45,0.99,9699.323,9934,46228
potlll,45,3,1000,45,1.0,10023.323,10093,45558
potlll,45,4,1000,45,0.99,9011.623,8881,41555
potlll,45,4,1000,45,1.0,9395.175,9635,43896
s2lll,10,0,1000,10,0.99,2.728,240,1301
s2lll,10,0,1000,10,1.0,3.947,498,1924
s2lll,10,1,1000,10,0.99,2.766,251,1351
s2lll,10,1,1000,10,1.0,3.813,499,1987
s2lll,10,2,1000,10,0.99,2.371,215,1201
s2lll,10,2,1000,10,1.0,3.342,428,1737
s2lll,10,3,1000,10,0.99,2.379,237,1256
s2lll,10,3,1000,10,1.0,3.418,432,1720
s2lll,10,4,1000,10,0.99,2.999,253,1388
s2lll,10,4,1000,10,1.0,4.443,514,2064
s2lll,15,0,1000,15,0.99,21.083,341,2649
s2lll,15,0,1000,15,1.0,33.937,1060,4568
s2lll,15,1,1000,15,0.99,20.475,345,2735
s2lll,15,1,1000,15,1.0,36.529,1154,4894
s2lll,15,2,1000,15,0.99,17.087,328,2634
s2lll,15,2,1000,15,1.0,36.247,1107,4764
s2lll,15,3,1000,15,0.99,22.463,360,2934
s2lll,15,3,1000,15,1.0,39.458,1198,5196
s2lll,15,4,1000,15,0.99,21.775,312,2490
s2lll,15,4,1000,15,1.0,35.218,1029,4419
s2lll,20,0,1000,20,0.99,79.542,423,4370
s2lll,20,0,1000,20,1.0,180.088,2044,9039
s2lll,20,1,1000,20,0.99,117.74,446,4629
s2lll,20,1,1000,20,1.0,197.51,2203,9665
s2lll,20,2,1000,20,0.99,73.147,452,4580
s2lll,20,2,1000,20,1.0,179.619,2249,9970
s2lll,20,3,1000,20,0.99,59.556,396,4131
s2lll,20,3,1000,20,1.0,124.463,1933,8612
s2lll,20,4,1000,20,0.99,68.647,434,4357
s2lll,20,4,1000,20,1.0,137.519,2011,8959
s2lll,25,0,1000,25,0.99,188.209,494,6296
s2lll,25,0,1000,25,1.0,462.967,3264,14838
s2lll,25,1,1000,25,0.99,186.056,483,6243
s2lll,25,1,1000,25,1.0,599.217,3319,15049
s2lll,25,2,1000,25,0.99,216.099,484,6026
s2lll,25,2,1000,25,1.0,443.531,3178,14434
s2lll,25,3,1000,25,0.99,198.073,477,6108
s2lll,25,3,1000,25,1.0,448.52,3235,14584
s2lll,25,4,1000,25,0.99,220.615,480,5990
s2lll,25,4,1000,25,1.0,497.471,3298,14973
s2lll,30,0,1000,30,0.99,420.913,534,8011
s2lll,30,0,1000,30,1.0,1124.748,4540,20528
s2lll,30,1,1000,30,0.99,382.529,503,7583
s2lll,30,1,1000,30,1.0,1044.78,4231,19435
s2lll,30,2,1000,30,0.99,441.13,544,8145
s2lll,30,2,1000,30,1.0,1240.853,4832,22161
s2lll,30,3,1000,30,0.99,450.155,549,8188
s2lll,30,3,1000,30,1.0,1193.919,4610,20957
s2lll,30,4,1000,30,0.99,418.01,525,7979
s2lll,30,4,1000,30,1.0,1199.125,4638,21055
s2lll,35,0,1000,35,0.99,1053.333,582,10298
s2lll,35,0,1000,35,1.0,3035.334,6624,30723
s2lll,35,1,1000,35,0.99,1081.086,560,9529
s2lll,35,1,1000,35,1.0,2720.709,5896,27220
s2lll,35,2,1000,35,0.99,843.667,530,9270
s2lll,35,2,1000,35,1.0,2536.409,5888,27244
s2lll,35,3,1000,35,0.99,855.517,550,9679
s2lll,35,3,1000,35,1.0,2682.692,6259,28834
s2lll,35,4,1000,35,0.99,894.896,579,9851
s2lll,35,4,1000,35,1.0,2680.404,6299,28965
s2lll,40,0,1000,40,0.99,1579.953,572,11161
s2lll,40,0,1000,40,1.0,5677,7513,34924
s2lll,45,0,1000,45,0.99,2371.49,584,12658
s2lll,45,0,1000,45,1.0,8138.621,8705,40677
s2lll,45,1,1000,45,0.99,2589.642,598,12742
s2lll,45,1,1000,45,1.0,9359.319,9346,43131
s2lll,45,2,1000,45,0.99,2544.447,591,12837
s2lll,45,2,1000,45,1.0,9236.419,9455,44038
s2lll,45,3,1000,45,0.99,2650.588,615,13344
s2lll,45,3,1000,45,1.0,9341.175,9507,43938
s2lll,45,4,1000,45,0.99,2439.476,559,12413
s2lll,45,4,1000,45,1.0,8727.085,8685,39694
