algo,all_dim,seed,dim,delta,sec,len,cnt
potlll,40,1,15,1.0,110.741,1612,6096
potlll,40,1,20,0.99,521.753,2868,11907
potlll,40,1,20,1.0,542.454,3032,12284
potlll,40,1,25,0.99,1698.429,4574,19861
potlll,40,1,25,1.0,1774.83,4881,20485
potlll,40,1,30,0.99,4285.709,6751,29938
potlll,40,1,30,1.0,4388.704,7138,30441
potlll,40,1,35,0.99,9911.388,9191,41276
potlll,40,1,35,1.0,10142.663,9695,41907
potlll,40,1,40,0.99,18760.47,11690,52789
potlll,40,1,40,1.0,19182.984,12246,53386
potlll,40,2,10,0.99,13.842,743,2560
potlll,40,2,10,1.0,14.245,761,2591
potlll,40,2,15,0.99,109.756,1556,6136
potlll,40,2,15,1.0,111.42,1597,6219
potlll,40,2,20,0.99,529.833,2896,12347
potlll,40,2,20,1.0,559.529,3049,12719
potlll,40,2,25,0.99,1695.981,4394,19406
potlll,40,2,25,1.0,1691.687,4700,20075
potlll,40,2,30,0.99,4248.305,6473,29065
potlll,40,2,30,1.0,4437.65,6977,30170
potlll,40,2,35,0.99,9372.847,8797,39957
potlll,40,2,35,1.0,9948.731,9486,41292
potlll,40,2,40,0.99,17930.523,11119,50897
potlll,40,2,40,1.0,18731.244,12213,53585
potlll,40,3,10,0.99,14.618,757,2577
potlll,40,3,10,1.0,15.029,767,2600
potlll,40,3,15,0.99,116.647,1608,6345
potlll,40,3,15,1.0,121.572,1650,6481
potlll,40,3,20,0.99,592.733,2826,11991
potlll,40,3,20,1.0,571.451,2948,12319
potlll,40,3,25,0.99,1914.992,4405,19361
potlll,40,3,25,1.0,2017.747,4556,19595
potlll,40,3,30,0.99,4192.53,6418,28651
potlll,40,3,30,1.0,4351.468,6772,29577
potlll,40,3,35,0.99,11734.323,8741,39473
potlll,40,3,35,1.0,9466.988,9213,40493
potlll,40,3,40,0.99,18257.865,11321,51527
potlll,40,3,40,1.0,22815.443,11964,53003
potlll,40,4,10,0.99,14.37,742,2474
potlll,40,4,10,1.0,15.859,773,2542
potlll,40,4,15,0.99,122.12,1600,6303
potlll,40,4,15,1.0,122.525,1661,6418
potlll,40,4,20,0.99,569.455,2976,12615
potlll,40,4,20,1.0,594.573,3164,13033
potlll,40,4,25,0.99,1734.297,4555,20000
potlll,40,4,25,1.0,1812.076,4876,20731
potlll,40,4,30,0.99,4311.467,6570,29384
potlll,40,4,30,1.0,4546.527,7124,30755
potlll,40,4,35,0.99,9829.259,9031,40807
potlll,40,4,35,1.0,9941.12,9623,41945
potlll,40,4,40,0.99,19637.8,11608,52661
potlll,40,4,40,1.0,18719.887,12277,53907
s2lll,40,0,10,0.99,10.308,484,1778
s2lll,40,0,10,1.0,14.063,720,2354
s2lll,40,0,15,0.99,62.791,710,3810
s2lll,40,0,15,1.0,119.268,1598,6180
s2lll,40,0,20,0.99,244.172,903,6258
s2lll,40,0,20,1.0,545.959,2830,11752
s2lll,40,0,25,0.99,669.112,1077,8990
s2lll,40,0,25,1.0,1815.966,4591,19772
s2lll,40,0,30,0.99,1343.232,1218,11643
s2lll,40,0,30,1.0,4369.567,6439,28184
s2lll,40,0,35,0.99,2655.674,1340,14354
s2lll,40,0,35,1.0,9080.727,8569,38060
s2lll,40,0,40,0.99,5346.844,1449,17163
s2lll,40,0,40,1.0,17622.746,11010,49407
s2lll,40,1,10,0.99,9.144,485,1811
s2lll,40,1,10,1.0,14.487,778,2487
s2lll,40,1,15,0.99,57.084,696,3669
s2lll,40,1,15,1.0,117.718,1564,5965
s2lll,40,1,20,0.99,225.085,889,6076
s2lll,40,1,20,1.0,512.816,2841,11698
s2lll,40,1,25,0.99,608.349,1061,8738
s2lll,40,1,25,1.0,1704.469,4476,19126
s2lll,40,1,30,0.99,1332.619,1212,11672
s2lll,40,1,30,1.0,4030.489,6512,28438
s2lll,40,1,35,0.99,2737.809,1333,14483
s2lll,40,1,35,1.0,8966.206,8548,37818
s2lll,40,1,40,0.99,5013.405,1447,17501
s2lll,40,1,40,1.0,17729.45,10923,48817
s2lll,40,2,10,0.99,9.756,488,1939
s2lll,40,2,10,1.0,14.09,748,2560
s2lll,40,2,15,0.99,56.995,686,3735
s2lll,40,2,15,1.0,108.284,1539,6024
s2lll,40,2,20,0.99,221.743,885,6213
s2lll,40,2,20,1.0,513.63,2831,11886
s2lll,40,2,25,0.99,623.132,1040,8655
s2lll,40,2,25,1.0,1544.207,4215,18183
s2lll,40,2,30,0.99,1323.096,1183,11365
s2lll,40,2,30,1.0,3936.738,6194,27145
s2lll,40,2,35,0.99,2664.679,1316,14447
s2lll,40,2,35,1.0,8670.146,8274,36710
s2lll,40,2,40,0.99,4977.255,1421,17287
s2lll,40,2,40,1.0,17492.424,10471,46865
s2lll,40,3,10,0.99,9.724,480,1870
s2lll,40,3,10,1.0,14.824,760,2573
s2lll,40,3,15,0.99,62.768,696,3894
s2lll,40,3,15,1.0,121.256,1633,6424
s2lll,40,3,20,0.99,250.549,871,6063
s2lll,40,3,20,1.0,574.507,2836,11917
s2lll,40,3,25,0.99,709.216,1046,8886
s2lll,40,3,25,1.0,1944.027,4366,18935
s2lll,40,3,30,0.99,1347.325,1184,11598
s2lll,40,3,30,1.0,3990.999,6284,27748
s2lll,40,3,35,0.99,3379.01,1314,14519
s2lll,40,3,35,1.0,11565.066,8513,37738
s2lll,40,3,40,0.99,4696.228,1419,17200
s2lll,40,3,40,1.0,18496.412,10825,48504
s2lll,40,4,10,0.99,9.86,482,1854
s2lll,40,4,10,1.0,15.374,762,2522
s2lll,40,4,15,0.99,66.042,704,3853
s2lll,40,4,15,1.0,122.547,1588,6205
s2lll,40,4,20,0.99,234.507,892,6176
s2lll,40,4,20,1.0,546.045,2903,12112
s2lll,40,4,25,0.99,686.841,1072,8945
s2lll,40,4,25,1.0,1710.168,4535,19592
s2lll,40,4,30,0.99,1404.61,1226,11883
s2lll,40,4,30,1.0,4107.316,6398,28163
s2lll,40,4,35,0.99,2800.732,1353,14797
s2lll,40,4,35,1.0,9168.56,8593,38384
s2lll,40,4,40,0.99,5495.604,1465,17761
s2lll,40,4,40,1.0,16867.914,10940,49266
