file_path,sec,len,cnt
results/deeplll05/ndim30seed3cnt1000dim30delta1.txt,143.245,288,3617
results/deeplll05/ndim30seed4cnt1000dim30delta0.98999995.txt,99.421,199,2425
results/deeplll05/ndim30seed4cnt1000dim30delta1.txt,94.507,196,2418
results/deeplll05/ndim35seed0cnt1000dim35delta0.98999995.txt,122.045,135,1818
results/deeplll05/ndim35seed0cnt1000dim35delta1.txt,191.297,214,2893
results/deeplll05/ndim35seed1cnt1000dim35delta0.98999995.txt,115.712,131,1684
results/deeplll05/ndim35seed1cnt1000dim35delta1.txt,167.248,195,2578
results/deeplll05/ndim35seed2cnt1000dim35delta0.98999995.txt,135.103,165,2229
results/deeplll05/ndim35seed2cnt1000dim35delta1.txt,141.795,179,2347
results/deeplll05/ndim35seed3cnt1000dim35delta0.98999995.txt,166.831,206,2892
results/deeplll05/ndim35seed3cnt1000dim35delta1.txt,152.22,188,2612
results/deeplll05/ndim35seed4cnt1000dim35delta0.98999995.txt,117.894,136,1677
results/deeplll05/ndim35seed4cnt1000dim35delta1.txt,278.777,346,4414
results/deeplll05/ndim40seed0cnt1000dim40delta0.98999995.txt,248.082,195,2708
results/deeplll05/ndim40seed0cnt1000dim40delta1.txt,284.28,223,3208
results/deeplll05/ndim40seed1cnt1000dim40delta0.98999995.txt,189.634,146,1961
results/deeplll05/ndim40seed1cnt1000dim40delta1.txt,211.834,162,2226
results/deeplll05/ndim40seed2cnt1000dim40delta0.98999995.txt,185.223,139,1925
results/deeplll05/ndim40seed2cnt1000dim40delta1.txt,178.567,138,1831
results/deeplll05/ndim40seed3cnt1000dim40delta0.98999995.txt,238.695,188,2559
results/deeplll05/ndim40seed3cnt1000dim40delta1.txt,178.616,143,1757
results/deeplll05/ndim40seed4cnt1000dim40delta0.98999995.txt,261.181,211,2981
results/deeplll05/ndim40seed4cnt1000dim40delta1.txt,256.571,217,2808
results/deeplll05/svpchallengedim40seed0dim10delta0.98999995.txt,13.949,807,6363
results/deeplll05/svpchallengedim40seed0dim10delta1.txt,14.909,851,6751
results/deeplll05/svpchallengedim40seed0dim15delta0.98999995.txt,78.737,1337,13313
results/deeplll05/svpchallengedim40seed0dim15delta1.txt,84.108,1384,13651
results/deeplll05/svpchallengedim40seed0dim20delta0.98999995.txt,143.627,1345,13481
results/deeplll05/svpchallengedim40seed0dim20delta1.txt,174.137,1515,15537
results/deeplll05/svpchallengedim40seed0dim25delta0.98999995.txt,334.818,1345,13506
results/deeplll05/svpchallengedim40seed0dim25delta1.txt,417.111,1515,15562
results/deeplll05/svpchallengedim40seed0dim30delta0.98999995.txt,281.194,1345,13531
results/deeplll05/svpchallengedim40seed0dim30delta1.txt,555.868,1515,15587
results/deeplll05/svpchallengedim40seed0dim35delta0.98999995.txt,391.501,1345,13556
results/deeplll05/svpchallengedim40seed0dim35delta1.txt,459.412,1515,15612
results/deeplll05/svpchallengedim40seed0dim40delta0.98999995.txt,498.036,1345,13581
results/deeplll05/svpchallengedim40seed0dim40delta1.txt,604.467,1515,15637
results/deeplll05/svpchallengedim40seed1dim10delta0.98999995.txt,15.601,853,6511
results/deeplll05/svpchallengedim40seed1dim10delta1.txt,15.889,865,6564
results/deeplll05/svpchallengedim40seed1dim15delta0.98999995.txt,59.864,1145,10227
results/deeplll05/svpchallengedim40seed1dim15delta1.txt,60.582,1163,10362
results/deeplll05/svpchallengedim40seed1dim20delta0.98999995.txt,146.525,1371,13217
results/deeplll05/svpchallengedim40seed1dim20delta1.txt,137.783,1352,12830
results/deeplll05/svpchallengedim40seed1dim25delta0.98999995.txt,212.85,1371,13242
results/deeplll05/svpchallengedim40seed1dim25delta1.txt,203.452,1352,12855
results/deeplll05/svpchallengedim40seed1dim30delta0.98999995.txt,287.247,1371,13267
results/deeplll05/svpchallengedim40seed1dim30delta1.txt,270.517,1352,12880
results/deeplll05/svpchallengedim40seed1dim35delta0.98999995.txt,416.532,1371,13292
results/deeplll05/svpchallengedim40seed1dim35delta1.txt,370.538,1352,12905
results/deeplll05/svpchallengedim40seed1dim40delta0.98999995.txt,495.909,1371,13317
results/deeplll05/svpchallengedim40seed1dim40delta1.txt,474.124,1352,12930
results/deeplll05/svpchallengedim40seed2dim10delta0.98999995.txt,18.112,854,6707
results/deeplll05/svpchallengedim40seed2dim10delta1.txt,21.104,882,7011
results/deeplll05/svpchallengedim40seed2dim15delta0.98999995.txt,77.949,1338,13001
results/deeplll05/svpchallengedim40seed2dim15delta1.txt,65.171,1185,10791
results/deeplll05/svpchallengedim40seed2dim20delta0.98999995.txt,140.536,1367,13405
results/deeplll05/svpchallengedim40seed2dim20delta1.txt,106.436,1185,10816
results/deeplll05/svpchallengedim40seed2dim25delta0.98999995.txt,206.866,1367,13430
results/deeplll05/svpchallengedim40seed2dim25delta1.txt,154.9,1185,10841
results/deeplll05/svpchallengedim40seed2dim30delta0.98999995.txt,280.509,1367,13455
results/deeplll05/svpchallengedim40seed2dim30delta1.txt,211.622,1185,10866
results/deeplll05/svpchallengedim40seed2dim35delta0.98999995.txt,383.984,1367,13480
results/deeplll05/svpchallengedim40seed2dim35delta1.txt,295.835,1185,10891
results/deeplll05/svpchallengedim40seed2dim40delta0.98999995.txt,480.801,1367,13505
results/deeplll05/svpchallengedim40seed2dim40delta1.txt,368.412,1185,10916
results/deeplll05/svpchallengedim40seed3dim10delta0.98999995.txt,15.696,849,6710
results/deeplll05/svpchallengedim40seed3dim10delta1.txt,16.053,858,6762
results/deeplll05/svpchallengedim40seed3dim15delta0.98999995.txt,75.692,1314,12616
results/deeplll05/svpchallengedim40seed3dim15delta1.txt,77.37,1338,12812
results/deeplll05/svpchallengedim40seed3dim20delta0.98999995.txt,130.475,1314,12641
results/deeplll05/svpchallengedim40seed3dim20delta1.txt,133.879,1338,12837
results/deeplll05/svpchallengedim40seed3dim25delta0.98999995.txt,191.193,1314,12666
